Species 1,Species 2,Min AAI,Max AAI,Mean AAI
Clade9,CladeVNII,69.3164,69.3186,69.3175
CladeVNBI,CladeVNBI,99.1534,100.0,99.5767
CladeVNBI,CladeVNBII,98.3686,98.4406,98.4069
CladeVNBI,CladeVNI,98.028,98.1199,98.0729
CladeVNBI,CladeVNII,97.4092,97.4951,97.4511
CladeVNBII,CladeVNBII,99.1911,100.0,99.5955
CladeVNBII,CladeVNI,97.9842,98.1014,98.0427
CladeVNBII,CladeVNII,97.4267,97.5464,97.4832
CladeVNI,CladeVNI,99.1426,100.0,99.5713
CladeVNI,CladeVNII,97.3905,97.51,97.4437
CladeVNII,CladeVNII,99.5634,100.0,99.7817
